,0
17,"Trident Arts, Vikram Vedha: product_or_service_of | Trident Arts, Tamizh Padam 2: product_or_service_of | Trident Arts, Ratsasan: product_or_service_of | Trident Arts, Seethakaathi: product_or_service_of | Trident Arts, Dhilluku Dhuddu 2: product_or_service_of | Trident Arts, Viswasam: product_or_service_of | Trident Arts, Kadaram Kondan: product_or_service_of | Trident Arts, Leo (2023 Indian film): product_or_service_of | Trident Arts, Shivalinga: product_or_service_of | Trident Arts, Lakshmi: product_or_service_of | Trident Arts, Action: product_or_service_of | Trident Arts, Kasada Thapara: product_or_service_of | R. Ravindran, Trident Arts: shareholder_of | A. Hariharan, Enna Solla Pogirai: collaboration | Sumanth Radhakrishnan, Hostel: collaboration | Arun Vaidyanathan, Shot Boot 3: collaboration | Ashwin Kumar, Enna Solla Pogirai: collaboration | Avantika Mishra, Enna Solla Pogirai: collaboration | Ashok Selvan, Hostel: collaboration | Priya Bhavani Shankar, Hostel: collaboration | Venkat Prabhu, Shot Boot 3: collaboration | Sneha, Shot Boot 3: collaboration | P. Vasu, Shivalinga: collaboration | Pushkar–Gayathri, Vikram Vedha: collaboration | C. S. Amudhan, Tamizh Padam 2: collaboration | A. L. Vijay, Lakshmi: collaboration | Ram Kumar, Ratsasan: collaboration | Balaji Tharaneetharan, Seethakaathi: collaboration | Rambhala, Dhilluku Dhuddu 2: collaboration | Sundar C, Action: collaboration | Chimbu Deven, Kasada Thapara: collaboration | Lokesh Kanagaraj, Leo (2023 Indian film): collaboration"
18,"Premiere Networks, iHeartMedia: subsidiary_of | Premiere Networks, iHeartMedia: acquired_by | Julie Talbott, Premiere Networks: key_people_of"
19,"Glasair Aviation, Jilin Hanxing Group: acquired_by | Glasair Aircraft USA, LLC, Jilin Hanxing Group: subsidiary_of | Glasair Aviation, Arlington Aircraft Development, Inc.: collaboration | Stoddard-Hamilton Aircraft, Glasair Aviation: merged_with | Glasair Aviation, Tom Hamilton: shareholder_of | Glasair Aviation, Thomas W. Wathen: shareholder_of | Glasair Aircraft USA, LLC, Arlington, Washington: product_or_service_of | Glasair Aviation, Homebuilt aircraft kits: product_or_service_of"
20,"Advans SA, KfW: shareholder_of | Advans SA, IFC: shareholder_of | Advans SA, ADB: shareholder_of | KfW, Advans SA: shareholder_of | IFC, Advans SA: shareholder_of | ADB, Advans SA: shareholder_of | Advans Banque Congo, Advans SA: shareholder_of | Advans Banque Congo, KfW: shareholder_of | Advans Banque Congo, African Development Bank: shareholder_of | Advans Banque Congo, International Finance Corporation: shareholder_of | Advans Banque Congo, Horus Development Finance: shareholder_of"
21,"KTHI/KVLY-TV, Morgan Murphy Media: acquired_by | Saga Communications, Morgan Murphy Media: competitor_of"
22,"CubeVision, Warner Bros. Pictures: collaboration | CubeVision, Universal Pictures: collaboration | CubeVision, New Line Cinema: collaboration | CubeVision, Alcon Entertainment: collaboration | CubeVision, Relativity Media: collaboration | CubeVision, Rainforest Films: collaboration | CubeVision, Legendary Pictures: collaboration | CubeVision, Metro-Goldwyn-Mayer: collaboration | CubeVision, State Street Pictures: collaboration | CubeVision, Will Packer Productions: collaboration | CubeVision, Burg/Koules Productions: collaboration | CubeVision, Sweepstake Productions: collaboration | CubeVision, Crucial Films: collaboration | CubeVision, Broken Chair Flickz: collaboration"
23,"LocusPoint Networks LLC, The Blackstone Group: shareholder_of | LocusPoint Networks LLC, FCC: regulated_by | KCSM-TV, KRCB: acquired_by | LocusPoint Networks LLC, San Mateo Community College District: client_of | WLEP-LD, FCC: regulated_by"
24,"New Line Cinema, Ice Cube: client_of | Ice Cube, CubeVision: shareholder_of | Ice Cube, Friday: product_or_service_of | CubeVision, Friday After Next: product_or_service_of | CubeVision, All About the Benjamins: product_or_service_of | CubeVision, Barbershop: product_or_service_of | Ice Cube, The Players Club: product_or_service_of"
25,"Zojoi, ICOM Simulations: acquired_by | Zojoi, Sherlock Holmes: Consulting Detective: product_or_service_of | Zojoi, Shadowgate: product_or_service_of | David Marsh, Zojoi: shareholder_of | Karl Roelofs, Zojoi: shareholder_of"
26,"NuoDB, Dassault Systèmes: collaboration | NuoDB, Temenos: collaboration | NuoDB, Santander Bank: collaboration | NuoDB, UAE Exchange: collaboration | NuoDB, Morgenthaler Ventures: shareholder_of | NuoDB, Hummer Winblad Venture Partners: shareholder_of | NuoDB, Longworth Venture Partners: shareholder_of | NuoDB, Gartner: client_of"
27,"Chance Rides, Chance Morgan: brand_of | Chance Rides Manufacturing, Chance Rides: subsidiary_of | Chance Rides, Wichita, Kansas: headquarters | Chance Rides, chancerides.com: traded_on | Chance Morgan Coasters, Inc., Chance Rides: subsidiary_of | Chance Rides Manufacturing, Chance Rides: subsidiary_of"
28,"SBC TV 22, Subic Broadcasting Corporation: brand_of | DWAB-TV, Subic Broadcasting Corporation: acquired_by | Subic Broadcasting Corporation, TV5: collaboration"
29,"Davis, 20th Century Studios: client_of | Jungle Cruise, Davis: product_or_service_of | Harold and the Purple Crayon, Davis: product_or_service_of | Flight Risk, Davis: product_or_service_of"
30,"GV Films, Mani Ratnam: collaboration | GV Films, Visu: collaboration | GV Films, A. R. Rahman: collaboration | GV Films, Suhasini Maniratnam: collaboration | GV Films, Manisha Koirala: collaboration | GV Films, Mahesh Manjrekar: collaboration | GV Films, Kasthuri Shankar: collaboration | GV Films, Mani Ratnam: collaboration | Anjali, Mani Ratnam: collaboration | Thalapathi, Mani Ratnam: collaboration | Indira, Suhasini Maniratnam: collaboration | Aalavandhan, GV Films: product_or_service_of | Baba, GV Films: product_or_service_of | Urchagam, GV Films: product_or_service_of | Kaivantha Kalai, GV Films: product_or_service_of | Thirudi, GV Films: product_or_service_of | Vedikkai En Vadikkai, Visu: collaboration | Neenga Nalla Irukkanum, Visu: collaboration | Thamizhan, Vijay: product_or_service_of | Yai! Nee Romba Azhaga Irukke!, Vasanth: collaboration | Ullam Ketkumae, Jeeva: collaboration | Matichya Chuli, Atul Kale-Sudesh Manjrekar: collaboration | TN 07 AL 4777, A. Lakshmikanthan: collaboration"
31,"Pxxel, SI Imaging Services: collaboration | Pixxel, NSIL: collaboration | Pixxel, NRO Commercial Systems Program Office: client_of | Pixxel, NASA: client_of"
32,"Ice Cube, CubeVision: collaboration | CubeVision, Actual Reality Pictures: collaboration | CubeVision, State Street Pictures: collaboration | CubeVision, New Line Television: collaboration | CubeVision, MTV Animation: collaboration | CubeVision, International Famous Players Radio Corporation: collaboration | CubeVision, MGM Television: collaboration"
33,"Simulations Canada, Matrix Games: collaboration | Simulations Canada, Omega Games: collaboration"
34,"Urwego, HOPE International: shareholder_of | Urwego, World Relief: shareholder_of"
35,"NuoDB, nuodb.com: product_or_service_of | NuoDB, Cambridge, Massachusetts: Headquarters | NuoDB, Barry S. Morris: Key people | NuoDB, Jim Starkey: Key people | NuoDB, Bob Walmsley: Key people | NuoDB, UAE Exchange: client_of | NuoDB, Temenos: client_of | NuoDB, Santander Bank: client_of | NuoDB, Dassault Systèmes: client_of | Barry S. Morris, NuoDB: shareholder_of | Jim Starkey, NuoDB: shareholder_of | Bob Walmsley, NuoDB: shareholder_of 

However, to follow the format to the letter as requested and after re-evaluating the task for the most appropriate relations based on the given data and constraints:

NuoDB, UAE Exchange: client_of | NuoDB, Temenos: client_of | NuoDB, Santander Bank: client_of | NuoDB, Dassault Systèmes: client_of | NuoDB, nuodb.com: product_or_service_of"
36,"Rabbit Bandini Productions, The Deuce: collaboration | Seth Rogen, The Deuce: collaboration"
37,"AMC Theatres, Odeon Cinemas: acquired_by | Odeon Cinemas, AMC Theatres: subsidiary_of | AMC (UK) Acquisition Limited, AMC Theatres: subsidiary_of | Odeon Cinemas, AMC Theatres: subsidiary_of | UCI Cinemas, AMC Theatres: subsidiary_of | Nordic Cinema Group, AMC Theatres: subsidiary_of"
38,"Eveready East Africa, NSE: traded_on | East Africa Batteries Limited, Eveready East Africa: shareholder_of | Industrial & Commercial Development Corporation, Eveready East Africa: shareholder_of"
39,"Gulf African Bank, International Finance Corporation: shareholder_of | International Finance Corporation, Gulf African Bank: acquired_by"
40,"ACME Communications, Santa Ana, California: subsidiary_of | ACME Communications, Jamie Kellner: shareholder_of | The CW Television Network, The WB: merged_with | The CW Television Network, UPN: merged_with | ACME Communications, The CW Television Network: client_of"
41,"Black Sheep, Quantum Films: collaboration | Black Sheep, Anima: collaboration"
42,"King World, CBS Corporation: subsidiary_of | King World, Viacom: subsidiary_of | Eyemark Entertainment, King World: merged_with | CBS Media Ventures, CBS Corporation: subsidiary_of | CBS, Viacom: acquired_by | King World, CBS: acquired_by | CBS Television Distribution, CBS Media Ventures: brand_of | CTD, CBS Media Ventures: brand_of | King World, Camelot Entertainment Sales: subsidiary_of"
43,"Chance Rides, Vekoma: collaboration | D. H. Morgan, Arrow Development: subsidiary_of | Chance Manufacturing, D. H. Morgan: acquired_by | Chance Rides, D. H. Morgan: subsidiary_of | Chance Manufacturing, Chance Rides: merged_with | Toboggan, Chance Rides: product_or_service_of | Big Dipper, Chance Rides: product_or_service_of"
44,"James Fisher, London Stock Exchange: traded_on | Fendercare Marine Solutions Ltd, James Fisher: acquired_by | Buchan Technical Services, James Fisher: acquired_by | F T Everard & Sons Ltd, James Fisher: acquired_by | Divex Ltd, James Fisher: acquired_by | Coe Metcalf Shipping, James Fisher: acquired_by | P&O Tankships, James Fisher: traded_as: LSE: FSJ"
45,"Fathom, Carnival Corporation & plc: subsidiary_of | Fathom, Cruises: product_or_service_of | Tara Russell, Fathom: subsidiary_of | Tara Russell, Carnival Corporation & plc: shareholder_of | Carnival Corporation & plc, Fathom: subsidiary_of | Cruises, Fathom: product_or_service_of | Fathom, Tara Russell: client_of 

However, after re-examining the data and following the instructions to the letter, the corrected output is:

Fathom, Carnival Corporation & plc: subsidiary_of | Tara Russell, Fathom: client_of 

The final answer is: 
Fathom, Carnival Corporation & plc: subsidiary_of"
46,"Davis Entertainment, Dune Entertainment: collaboration | Davis Entertainment, 20th Century Fox: collaboration | Mark Lester Films, Davis Entertainment: collaboration | Mark L. Lester, Davis Entertainment: collaboration | Mark Lester Films, Dune Entertainment: collaboration | Mark L. Lester, Dune Entertainment: collaboration | Mark Lester Films, 20th Century Fox: collaboration | Mark L. Lester, 20th Century Fox: collaboration"
47,"PriceSmart Foods, Overwaitea Food Group: subsidiary_of | PriceSmart Foods, Jim Pattison Group: subsidiary_of | Overwaitea Food Group, Jim Pattison Group: subsidiary_of | PriceSmart Foods, Save-On-Foods: collaboration | PriceSmart Foods, Western Family: brand_of | PriceSmart Foods, Value Priced: brand_of"
48,"Phil Robertson, Duck Commander: brand_of | Buck Commander, Duck Commander: brand_of | Fin Commander, Duck Commander: brand_of | Strut Commander, Duck Commander: brand_of | Willie Robertson, Duck Commander: shareholder_of | Jase Robertson, Duck Commander: shareholder_of | Jep Robertson, Duck Commander: shareholder_of | Buck Commander, Duck Commander, Inc.: subsidiary_of | Strut Commander, Duck Commander, Inc.: subsidiary_of | Fin Commander, Duck Commander, Inc.: subsidiary_of"
49,"Screentime, TVNZ: collaboration | Screentime, Network Ten: collaboration | Screentime, ABC: collaboration | Screentime, Nine Network: collaboration | Screentime, RTÉ One: collaboration | Screentime, TVNZ 2: collaboration | Screentime, RTÉ Two: collaboration | Screentime, Showcase: collaboration | Screentime, Three: collaboration | Screentime, Prime: collaboration | Screentime, Lifestyle: collaboration | Screentime, Stan: collaboration | Screentime, SBS: collaboration | Screentime, Seven Network: collaboration | Screentime, Netflix: collaboration | Screentime, Viaplay: collaboration | Screentime, Acorn TV: collaboration | Screentime, ZDF: collaboration"
50,"Screentime, Banijay Entertainment: subsidiary_of | Screentime, Banijay Entertainment: acquired_by | Bob Campbell, Screentime: shareholder_of | Des Monaghan, Screentime: shareholder_of"
51,"FBR Ltd, Caterpillar Inc: collaboration | FBR Ltd, Liebherr: collaboration"
52,"Ophthalmology, Clinique La Colline: product_or_service_of | Neurosurgery, Clinique La Colline: product_or_service_of | Urology, Clinique La Colline: product_or_service_of | Orthopedics, Clinique La Colline: product_or_service_of | Otorhinolaryngology, Clinique La Colline: product_or_service_of | Oral and maxillofacial surgery, Clinique La Colline: product_or_service_of | Plastic surgery, Clinique La Colline: product_or_service_of | Surgery, Clinique La Colline: product_or_service_of | Gynaecology, Clinique La Colline: product_or_service_of | Heart surgery, Clinique La Colline: product_or_service_of | Gastroenterology, Clinique La Colline: product_or_service_of | Internal medicine, Clinique La Colline: product_or_service_of"
53,"Subic Broadcasting Corporation, 5K Broadcasting Network: competitor_of | Subic Broadcasting Corporation, Y2H Broadcasting Network: competitor_of | Subic Broadcasting Corporation, Bicol Media Network Group: competitor_of | Subic Broadcasting Corporation, Loud Cry Ministries: competitor_of | Subic Broadcasting Corporation, Kilat RadioKast: competitor_of | Subic Broadcasting Corporation, People's Radio and Broadcasting Services: competitor_of"
54,"SolarFlix, Solar Entertainment: brand_of | SolarFlix, ETC: product_or_service_of | SBN, Solar Entertainment: client_of"
55,"Atari, Warner Bros. Interactive: client_of | Sega, FarSight Studios: collaboration | Crave Entertainment, FarSight Studios: collaboration | EA Sports, FarSight Studios: collaboration | Midway Games, Warner Bros. Interactive: acquired_by | Radica Games, Crave Entertainment: competitor_of | Crave Entertainment, Radica Games: competitor_of | 505 Games, Warner Bros. Interactive: competitor_of | Warner Bros. Interactive, 505 Games: competitor_of | THQ, FarSight Studios: collaboration | Absolute Entertainment, FarSight Studios: collaboration | Active Enterprises, FarSight Studios: collaboration | Konami, FarSight Studios: collaboration | Sega, Atari: competitor_of | Atari, Sega: competitor_of | Crave Entertainment, Atari: collaboration | Atari, Crave Entertainment: collaboration | EA Sports, Atari: collaboration | Atari, EA Sports: collaboration | Radica Games, Atari: competitor_of | Atari, Radica Games: competitor_of | Midway Games, FarSight Studios: collaboration | Virgin Games, FarSight Studios: collaboration | 505 Games, Atari: collaboration | Atari, 505 Games: collaboration | Warner Bros. Interactive, Midway Games: acquired_by | Sega, Konami: competitor_of | Konami, Sega: competitor_of | EA Sports, Konami: competitor_of | Konami, EA Sports: competitor_of | THQ, Sega: competitor_of | Sega, THQ: competitor_of"
56,"Ice Cube, Revolution Studios: collaboration | Cube Vision, Revolution Studios: collaboration"
57,"Monkeypaw Productions, Jordan Peele: founder | Monkeypaw Productions, Los Angeles, California, United States: headquarters | Jordan Peele, Monkeypaw Productions: shareholder_of | Monkeypaw Productions, monkeypawproductions.com: website 

 Reformatted to fit the required output format:
Monkeypaw Productions, Jordan Peele: founder | Monkeypaw Productions, Los Angeles, California, United States: headquarters 

However, ""founder"" and ""headquarters"" are not in the list of possible relation types. Let's re-evaluate the data.

Upon closer inspection, we can identify the following valid relations:
- Jordan Peele is the Founder of Monkeypaw Productions, which can be related to ""shareholder_of"" or ""subsidiary_of"" if we consider the inverse. However, the direct relation is not listed, but we can infer that ""Jordan Peele"" is related to ""Monkeypaw Productions"" through a relation that is not directly available. 
- ""Monkeypaw Productions"" is listed on ""monkeypawproductions.com"" is not a valid relation type, but it can be related to ""website"".

A valid triplet can be formed using ""shareholder_of"" or other valid relations. One valid relation is:
Monkeypaw Productions, monkeypawproductions.com: product_or_service_of is not valid, instead we can consider ""website"" as a relation, but it's not in the list.

A more suitable relation is:
Jordan Peele, Monkeypaw Productions: subsidiary_of is not valid, but the inverse can be related to ""shareholder_of"".

The correct output should be:
Jordan Peele, Monkeypaw Productions: shareholder_of 

The final output in the required format is:
Jordan Peele, Monkeypaw Productions: shareholder_of 

Since there is at least one valid relation, we don't return ""NO_RELATION"". 

The output is:
Jordan Peele, Monkeypaw Productions: shareholder_of"
58,"Thomas Cook AG, Thomas Cook International Markets: subsidiary_of | Thomas Cook AG, Thomas Cook Group plc: merged_with | Thomas Cook AG, Dubai Financial LLC: acquired_by | Thomas Cook AG, London Stock Exchange: traded_on | Thomas Cook Airlines UK Limited, MyTravel Airways: merged_with | Thomas Cook Airlines Belgium, Lufthansa AG: acquired_by | Thomas Cook Canada, Transat A.T.: acquired_by | Thomas Cook International Markets, Dubai Financial LLC: acquired_by | Thomas Cook GmbH, Thomas Cook Group: subsidiary_of | Condor Flugdienst, Thomas Cook Group: subsidiary_of | Thomas Cook Airlines UK Limited, Thomas Cook Group: subsidiary_of | Thomas Cook Tour Operations Limited, Thomas Cook Group: subsidiary_of | Thomas Cook Retail Limited, Thomas Cook Group: subsidiary_of | JMC Airlines Limited, Thomas Cook Airlines: brand_of"
59,"Artex Film, Venice Film: collaboration | Artex Film, Courier Film: collaboration"
60,"20th Century Studios, Davis Entertainment: collaboration | Davis Entertainment, Mark Lester Films: collaboration | Davis Entertainment, 20th Century Studios: client_of | Davis Entertainment, Mark Lester Films: collaboration | The Story Company, Davis Entertainment: collaboration | Eddie Murphy Productions, Davis Entertainment: collaboration | 20th Century Studios, Davis Entertainment: collaboration | Lawrence Gordon Productions, Davis Entertainment: collaboration | Davis Entertainment, Focus Features: client_of | Universal Pictures, Davis Entertainment: client_of | Davis Entertainment, Sony Pictures Releasing: client_of | Screen Gems, Davis Entertainment: collaboration | Westbrook Studios, Davis Entertainment: collaboration | Amazon MGM Studios, Davis Entertainment: collaboration | Davis Entertainment, Walt Disney Studios Motion Pictures: client_of | Walt Disney Pictures, Davis Entertainment: collaboration | Seven Bucks Productions, Davis Entertainment: collaboration | Flynn Picture Company, Davis Entertainment: collaboration | Team Downey, Davis Entertainment: collaboration | Davis Entertainment, Paramount Pictures: client_of"
61,"20th Century Studios, Fox Television Studios: collaboration | Davis, Sony Pictures Television: collaboration | John Fox, Davis: subsidiary_of | Davis, NBC: client_of | Davis, Universal Television: collaboration"
62,"Farpoint Films, John Barnard: shareholder_of | Farpoint Films, Kyle Bornais: shareholder_of | Room for Rent, Farpoint Films: product_or_service_of | Sorry for Your Loss, Farpoint Films: product_or_service_of | From the Vine, Farpoint Films: product_or_service_of | The Illegal Eater, Farpoint Films: product_or_service_of | Escape Or Die!, Farpoint Films: product_or_service_of | The Medicine Line, Farpoint Films: product_or_service_of | Wild Cherry, Farpoint Films: product_or_service_of | Mother's Day, Farpoint Films: product_or_service_of | We're The Weakerthans, We're From Winnipeg, Farpoint Films: product_or_service_of | Drop the Nickel, Farpoint Films: product_or_service_of | A Fable About Beauty, Farpoint Films: product_or_service_of | The Paper Nazis, Farpoint Films: product_or_service_of | The Sheepdogs Have At It, Farpoint Films: product_or_service_of | Champion City: The 1896 Winnipeg Victorias, Farpoint Films: product_or_service_of | Teen Lust, Farpoint Films: product_or_service_of | Lost Heroes, Farpoint Films: product_or_service_of | Randy Bachman's Vinyl Tap: Every Song Tells A Story, Farpoint Films: product_or_service_of | Menorca, Farpoint Films: product_or_service_of | Bachman, Farpoint Films: product_or_service_of | The Perfect Match, Farpoint Films: product_or_service_of | Love, Of Course, Farpoint Films: product_or_service_of | Seeking Fire - In Production, Farpoint Films: product_or_service_of | Strong Son - In Pre Production, Farpoint Films: product_or_service_of | Wintertide - In Post Production, Farpoint Films: product_or_service_of | Vandits, Farpoint Films: product_or_service_of | The Swearing Jar, Farpoint Films: product_or_service_of | Blood, Farpoint Films: product_or_service_of | Levels, Farpoint Films: product_or_service_of"
63,"Artex Film, Venice Film: collaboration | Artex Film, Una nuova alba: product_or_service_of"
64,"Transmission, See-Saw Films: collaboration | Transmission, The King's Speech: product_or_service_of | Transmission, Shame: product_or_service_of | Transmission, Rare Exports: A Christmas Tale: product_or_service_of | Transmission, Samson & Delilah: product_or_service_of | Transmission, Amour: product_or_service_of | Transmission, The Railway Man: product_or_service_of | Transmission, Calvary: product_or_service_of | Transmission, Tracks: product_or_service_of | Transmission, Mr. Turner: product_or_service_of | Transmission, Holding the Man: product_or_service_of | Transmission, Suffragette: product_or_service_of | Transmission, Carol: product_or_service_of | Transmission, Brooklyn: product_or_service_of | Transmission, The World's Fastest Indian: product_or_service_of | Transmission, Boy: product_or_service_of | Transmission, The Dark Horse: product_or_service_of | Transmission, The Dead Lands: product_or_service_of"
65,"Davis, 20th Century Studios: client_of | Davis, MTE: collaboration | Davis, Stormy Weather Productions: collaboration | Davis, Carolco Pictures: collaboration | Davis, Faye Dunaway Productions: collaboration | Davis, ITC Entertainment: collaboration | Davis, Quinta Communications: collaboration | Davis, USA Pictures: collaboration | Davis, World International Network: collaboration | Davis, Pacific Motion Pictures: collaboration | Davis, Karpf Productions: collaboration | Davis, NBC Studios: collaboration | Davis, Walt Disney Television: collaboration | Davis, HBO Pictures: collaboration"
66,"Amira, Revenue: regulated_by | Amira, Profit/Loss: regulated_by"
